sno,juliatotal
38426516,92
22213623,90
81789018,90
95078424,90
77049898,90
39908355,89
40747941,89
44818177,89
30161814,88
33241019,87
34099135,86
88101886,86
71161244,85
97714976,85
19909522,85
79235719,84
72948847,84
78865573,83
48465041,83
99017899,83
85154854,83
31257033,83
17009144,83
79874830,83
82091455,83
55693444,82
59219527,82
22173397,82
53838678,81
32998205,80
57844268,80
87522918,79
99239642,78
27610260,78
18496018,78
93081255,77
50217298,77
52491586,77
86002110,77
22250328,76
47130190,75
22885628,75
81004772,74
27397421,74
27307339,73
75790980,73
52856812,72
50741602,72
53639084,71
17557760,71
66231754,69
42623306,69
94983749,69
28761799,69
85615573,67
65726713,66
31888431,65
82345117,64
73627077,63
30518310,63
80437940,61
39453360,58
37896917,56
79862355,48
48709159,48
47707195,47
91319939,46
40379166,44
73750903,42
35311125,37
47240429,26
21791843,0
40977852,0
48025167,0
